2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: input[id='Newsletter']
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: input[id='Newsletter']
2023-06-21 19:28:08 INFO  TestBase:105 - Clicked ON: [[ChromeDriver: chrome on WINDOWS (4dd510c75ef1cb52d7bc7b3f40068c23)] -> css selector: input[id='Newsletter']]
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #Password
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #Password
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #Password
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #Password
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #Password
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #Password
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #ConfirmPassword
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #ConfirmPassword
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #ConfirmPassword
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #ConfirmPassword
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #ConfirmPassword
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #ConfirmPassword
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #register-button
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #register-button
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #register-button
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #register-button
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #register-button
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #register-button
2023-06-21 19:28:09 INFO  TestBase:105 - Clicked ON: [[ChromeDriver: chrome on WINDOWS (4dd510c75ef1cb52d7bc7b3f40068c23)] -> css selector: #register-button]
2023-06-21 19:28:09 INFO  TestBase:87 - Finding Element: By.cssSelector: div.buttons a
2023-06-21 19:28:09 INFO  TestBase:93 - Found Element: By.cssSelector: div.buttons a
2023-06-21 19:28:09 INFO  TestBase:87 - Finding Element: By.cssSelector: div.buttons a
